id,description,type,gene_format,version,file
GO_BP_simplified,GO analysis Biological Process Simplified terms,External,,,
GO_CC_simplified,GO analysis Cellular Component Simplified terms,External,,,
GO_MF_simplified,GO analysis Molecular Function Simplified terms,External,,,
GO_BP_original,GO analysis Biological Process ,External,,,
GO_CC_original,GO analysis Cellular Component ,External,,,
GO_MF_original,GO analysis Molecular Function ,External,,,
KEGG,KEGG pathways,External,,,
secretome_location,Secretome location,HPA,ensembl,20210903,proteinatlas20.tsv
specificity_blood,Specificity classification Blood,HPA,ensembl,HPA20,proteinatlas20.tsv
specificity_brain,Specificity classification Brain,HPA,ensembl,HPA20,proteinatlas20.tsv
specificity_singlecell,Specificity classification Single cell type,HPA,ensembl,HPA20,proteinatlas20.tsv
specificity_tissue,Specificity classification Tissue,HPA,ensembl,HPA20,proteinatlas20.tsv
subcellular_location,Subcellular location,HPA,ensembl,HPA20,subcellular_location_HPA20.tsv
panglao_cellmarkers,Cell type markers from the Panglao database,External,gene names,20200327,PanglaoDB_markers_27_Mar_2020.tsv
protein_class,HPA protein class,HPA,ensembl,20210903,proteinatlas20.tsv
reactome,Reactome pathways,External,ensembl,20210903,Ensembl2Reactome_All_Levels_20210903.txt
trrust,TRRUST TFs,External,gene names,20180416,trrust_rawdata.human_20180416.tsv
